fdic_certificate_number,institution_name,state_name,fdic_id,docket,active,address,total_assets,bank_charter_class,change_code_1,change_code_2,change_code_3,change_code_4,change_code_5,change_code_6,change_code_7,change_code_8,change_code_9,change_code_10,change_code_11,change_code_12,change_code_13,change_code_14,change_code_15,occ_charter,chartering_agency,conservatorship,city,category_code,county_fips_code,county_name,established_date,last_updated,effective_date,end_effective_date,denovo_institute,total_deposits,equity_capital,fdic_geo_region,fdic_supervisory_region,fdic_supervisory_region_code,fed_reserve_district,fed_reserve_district_id,fed_reserve_unique_id,federal_charter,fdic_field_office,iba,inactive_flag,insurance_fund_membership,secondary_insurance_fund,deposit_insurance_date,credit_card_institution,bank_insurance_fund_member,insured_commercial_bank,deposit_insurance_fund_member,fdic_insured,saif_insured,insured_savings_institute,new_cert_number,oakar_institute,ots_region,last_structural_change,qbp_region,regulator,report_date,reporting_period_end_date,state_chartered,return_on_assets,roa_quarterly,roa_pretax,row_pretax_quarterly,return_on_equity,roe_quarterly,run_date,sasser_institute,law_sasser,state,state_fips_code,trade_name_1,trade_name_2,trade_name_3,trade_name_4,trade_name_5,trade_name_6,zip_code,occ_district,ultimate_cert_number,cfpb_supervisory_flag,cfpb_supervisory_start_date,cfpb_supervisory_end_date,offices_count,parent_fdic_cert,parent_parcert,high_holder_city,total_domestic_deposits,ffiec_call_report_filer,holding_company_flag,ag_lending_flag,ownership_type,top_holder,net_income,quarterly_net_income,office_count_domestic,office_count_foreign,office_count_us_territories,rssd_id,holding_company_state,subchap_s_indicator,trust_powers_status,asset_concentration_hierarchy,primary_specialization,csa_name,csa_fips_code,csa_indicator,cbsa_name,cbsa_fips_code,cbsa_metro_flag,cbsa_micro_flag,cbsa_division_name,cbsa_division_fips_code,cbsa_division_flag
21314,The First National Bank of Autauga County,Alabama,14751,0,false,744 East Main Street,,N,223,,,,,,,,,,,,,,,16219,OCC,false,Prattville,3,01001,Autauga,1973-11-15,1998-12-10,1983-11-18,1983-11-18,,,,5,Atlanta,05,Atlanta,6,499734,true,Montgomery,false,true,BIF,,1973-11-15,,true,true,false,true,false,false,2782,false,Southeast,1990-01-01,2,OCC,,2022-06-30,false,,,,,,,2022-10-14,false,false,AL,1,,,,,,,36067,5,12368,false,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery-Selma-Alexander City, AL",388,true,"Montgomery, AL",33860,true,false,,,false
15722,Baldwin National Bank,Alabama,9984,0,false,Milwaukee And Ohio Streets,,N,223,,,,,,,,,,,,,,,15402,OCC,false,Robertsdale,3,01003,Baldwin,1940-01-17,1990-10-04,1983-10-14,1983-10-14,,,,5,Atlanta,05,Atlanta,6,2720740,true,Montgomery,false,true,BIF,,1940-02-24,,true,true,false,true,false,false,2782,false,Southeast,1983-10-25,2,OCC,,2022-06-30,false,,,,,,,2022-10-14,false,false,AL,1,,,,,,,36567,5,12368,false,,,,,,,,,,,,,,,,,,,,,,,,"Mobile-Daphne-Fairhope, AL",380,true,"Daphne-Fairhope-Foley, AL",19300,true,false,,,false
21103,State Bank of the Gulf,Alabama,14586,0,false,West 18th Avenue And Highway 59,,NM,223,,,,,,,,,,,,,,,0,STATE,false,Gulf Shores,21,01003,Baldwin,1973-06-01,1998-12-10,1983-09-23,1983-09-23,,,,5,Atlanta,05,Atlanta,6,388539,false,Montgomery,false,true,BIF,,1973-06-01,,true,true,false,true,false,false,2782,false,Southeast,1990-01-01,2,FDIC,,2022-06-30,true,,,,,,,2022-10-14,false,false,AL,1,,,,,,,36542,5,12368,false,,,,,,,,,,,,,,,,,,,,,,,,"Mobile-Daphne-Fairhope, AL",380,true,"Daphne-Fairhope-Foley, AL",19300,true,false,,,false
21466,First National Bank of Alabama-Daphne,Alabama,14846,0,false,2211 Highway 98,,N,223,520,,,,,,,,,,,,,,16285,OCC,false,Daphne,3,01003,Baldwin,1974-03-01,1990-10-04,1982-07-12,1982-07-12,,,,5,Atlanta,05,Atlanta,6,481533,true,Montgomery,false,true,BIF,,1974-03-01,,true,true,false,true,false,false,2812,false,Southeast,1982-08-11,2,OCC,,2022-06-30,false,,,,,,,2022-10-14,false,false,AL,1,,,,,,,36526,5,12368,false,,,,,,,,,,,,,,,,,,,,,,,,"Mobile-Daphne-Fairhope, AL",380,true,"Daphne-Fairhope-Foley, AL",19300,true,false,,,false
19477,Central Bank of Eufaula,Alabama,13277,0,false,223 East Broad Street,,NM,223,,,,,,,,,,,,,,,0,STATE,false,Eufaula,21,01005,Barbour,1965-08-27,1990-10-04,1981-12-31,1981-12-31,,,,5,Atlanta,05,Atlanta,6,868282,false,Montgomery,false,true,BIF,,1965-08-27,,true,true,false,true,false,false,19048,false,Southeast,1982-01-13,2,FDIC,,2022-06-30,true,,,,,,,2022-10-14,false,false,AL,1,,,,,,,36027,5,6384,false,,,,,,,,,,,,,,,,,,,,,,,,,,false,"Eufaula, AL-GA",21640,false,true,,,false
31739,First Federal Savings and Loan Association of Blount County,Alabama,44573,7403,false,415 Second Avenue East,,SL,223,,,,,,,,,,,,,,,0,OTS,false,Oneonta,38,01009,Blount,1974-12-09,1998-07-17,1981-08-31,1981-08-31,,,,5,Atlanta,05,Atlanta,6,577379,true,Shelby,false,true,SAIF,,1974-12-09,,false,false,false,true,true,true,31665,false,Southeast,1981-08-31,2,OTS,,2022-06-30,false,,,,,,,2022-10-14,false,false,AL,1,,,,,,,35121,5,873,false,,,,,,,,,,,,,,,,,,,,,,,,"Birmingham-Hoover-Talladega, AL",142,true,"Birmingham-Hoover, AL",13820,true,false,,,false
48,The Citizens Bank of Georgiana,Alabama,29,0,false,Main Street,,NM,223,,,,,,,,,,,,,,,0,STATE,false,Georgiana,21,01013,Butler,1931-01-01,1999-05-05,1976-04-30,1976-04-30,,,,5,Atlanta,05,Atlanta,6,569338,false,Montgomery,false,true,BIF,,1934-01-01,,true,true,false,true,false,false,2802,false,Southeast,1990-01-01,2,FDIC,,2022-06-30,true,,,,,,,2022-10-14,false,false,AL,1,,,,,,,36033,5,12441,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17469,The Greenville Bank,Alabama,11456,0,false,300-314 East Commerce Street,,NM,223,,,,,,,,,,,,,,,0,STATE,false,Greenville,21,01013,Butler,1955-07-15,1990-10-04,1983-12-01,1983-12-01,,,,5,Atlanta,05,Atlanta,6,448639,false,Montgomery,false,true,BIF,,1955-07-15,,true,true,false,true,false,false,860,false,Southeast,1983-12-19,2,FDIC,,2022-06-30,true,,,,,,,2022-10-14,false,false,AL,1,,,,,,,36037,5,4988,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17170,Central Bank of Oxford,Alabama,11205,0,false,Main Street,,SM,223,,,,,,,,,,,,,,,0,STATE,false,Oxford,13,01015,Calhoun,1953-01-02,1999-05-05,1982-09-16,1982-09-16,,,,5,Atlanta,05,Atlanta,6,466138,false,Shelby,false,true,BIF,,1953-01-02,,true,true,false,true,false,false,21028,false,Southeast,1982-09-29,2,FED,,2022-06-30,true,,,,,,,2022-10-14,false,false,AL,1,,,,,,,36201,5,6384,false,,,,,,,,,,,,,,,,,,,,,,,,,,false,"Anniston-Oxford, AL",11500,true,false,,,false
2823,"SouthTrust Bank of Piedmont, National Association",Alabama,1845,0,false,Main Street,,N,223,,,,,,,,,,,,,,,7464,OCC,false,Piedmont,3,01015,Calhoun,1904-11-08,1999-05-05,1983-11-21,1983-11-21,,,,5,Atlanta,05,Atlanta,6,526238,true,Shelby,false,true,BIF,,1934-01-01,,true,true,false,true,false,false,2774,false,Southeast,1983-11-28,2,OCC,,2022-06-30,false,,,,,,,2022-10-14,false,false,AL,1,,,,,,,36272,5,3511,false,,,,,,,,,,,,,,,,,,,,,,,,,,false,"Anniston-Oxford, AL",11500,true,false,,,false
2776,The Commercial National Bank of Anniston,Alabama,1810,0,false,931 Noble Street,,N,223,,,,,,,,,,,,,,,11753,OCC,false,Anniston,3,01015,Calhoun,1920-06-20,1991-03-07,1983-07-15,1983-07-15,,,,5,Atlanta,05,Atlanta,6,926230,true,Shelby,false,true,BIF,,1934-01-01,,true,true,false,true,false,false,2782,false,Southeast,1983-07-20,2,OCC,,2022-06-30,false,,,,,,,2022-10-14,false,false,AL,1,,,,,,,36201,5,12368,false,,,,,,,,,,,,,,,,,,,,,,,,,,false,"Anniston-Oxford, AL",11500,true,false,,,false
31575,Guaranty Federal Savings and Loan Association of Calhoun County,Alabama,44409,7201,false,1101 Wilmer Ave,,SL,223,,,,,,,,,,,,,,,0,OTS,false,Anniston,38,01015,Calhoun,1969-07-02,1998-07-17,1981-12-31,1981-12-31,,,,5,Atlanta,05,Atlanta,6,5975,true,Shelby,false,true,SAIF,,1969-07-02,,false,false,false,true,true,true,30202,false,Southeast,1981-12-31,2,OTS,,2022-06-30,false,,,,,,,2022-10-14,false,false,AL,1,,,,,,,36202,5,12368,false,,,,,,,,,,,,,,,,,,,,,,,,,,false,"Anniston-Oxford, AL",11500,true,false,,,false
9053,Cedar Bluff Bank,Alabama,5791,0,false,Highway 68 And Pine Street,,NM,211,,,,,,,,,,,,,,,0,STATE,false,Cedar Bluff,21,01019,Cherokee,1909-02-09,1997-07-02,1982-11-04,1982-11-04,,,,5,Atlanta,05,Atlanta,6,182634,false,Shelby,false,true,BIF,,1934-01-01,,true,true,false,true,false,false,24114,false,Southeast,1982-11-16,2,FDIC,,2022-06-30,true,,,,,,,2022-10-14,false,false,AL,1,,,,,,,35959,5,5602,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24114,Union State Bank,Alabama,16812,0,false,Highway 68 And Pine Street,,NM,223,,,,,,,,,,,,,,,0,STATE,false,Cedar Bluff,21,01019,Cherokee,1982-11-04,1990-10-04,1982-12-20,1982-12-20,,,,5,Atlanta,05,Atlanta,6,469531,false,Shelby,false,true,BIF,,1982-11-04,,true,true,false,true,false,false,5602,false,Southeast,1983-02-02,2,FDIC,,2022-06-30,true,,,,,,,2022-10-14,false,false,AL,1,,,,,,,35959,5,5602,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788,The First National Bank of Clanton,Alabama,1819,0,false,501-503 2nd Avenue North,,N,223,,,,,,,,,,,,,,,11515,OCC,false,Clanton,3,01021,Chilton,1919-11-19,1991-03-07,1983-06-05,1983-06-05,,,,5,Atlanta,05,Atlanta,6,475532,true,Shelby,false,true,BIF,,1934-01-01,,true,true,false,true,false,false,21425,false,Southeast,1983-06-16,2,OCC,,2022-06-30,false,,,,,,,2022-10-14,false,false,AL,1,,,,,,,35045,5,9846,false,,,,,,,,,,,,,,,,,,,,,,,,"Birmingham-Hoover-Talladega, AL",142,true,"Birmingham-Hoover, AL",13820,true,false,,,false
31764,American Federal Savings and Loan Association,Alabama,44598,7435,false,1021 Coffeeville Road,,SL,223,,,,,,,,,,,,,,,0,OTS,false,Jackson,38,01025,Clarke,1975-04-16,1998-07-17,1980-05-31,1980-05-31,,,,5,Atlanta,05,Atlanta,6,179175,true,Montgomery,false,true,SAIF,,1975-04-16,,false,false,false,true,true,true,28827,false,Southeast,1980-05-31,2,OTS,,2022-06-30,false,,,,,,,2022-10-14,false,false,AL,1,,,,,,,36545,5,12368,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22083,Citizens Bank,Alabama,15333,0,false,24-34 Highway 43 South,,NM,223,,,,,,,,,,,,,,,0,STATE,false,Thomasville,21,01025,Clarke,1975-08-01,1990-10-04,1981-07-08,1981-07-08,,,,5,Atlanta,05,Atlanta,6,321237,false,Montgomery,false,true,BIF,,1975-08-01,,true,true,false,true,false,false,17077,false,Southeast,1981-07-21,2,FDIC,,2022-06-30,true,,,,,,,2022-10-14,false,false,AL,1,,,,,,,36784,5,17077,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19376,Muscle Shoals National Bank,Alabama,13183,0,false,800 Woodward Avenue,,N,223,,,,,,,,,,,,,,,15485,OCC,false,Muscle Shoals,3,01033,Colbert,1965-02-15,1990-10-04,1982-05-06,1982-05-06,,,,5,Atlanta,05,Atlanta,6,832788,true,Shelby,false,true,BIF,,1965-02-15,,true,true,false,true,false,false,9048,false,Southeast,1982-05-18,2,OCC,,2022-06-30,false,,,,,,,2022-10-14,false,false,AL,1,,,,,,,35662,5,3511,false,,,,,,,,,,,,,,,,,,,,,,,,,,false,"Florence-Muscle Shoals, AL",22520,true,false,,,false
61,Bank of Florala,Alabama,42,0,false,1200 Lakeshore Boulevard,,NM,223,,,,,,,,,,,,,,,0,STATE,false,Florala,21,01039,Covington,1904-01-01,1990-10-04,1982-09-30,1982-09-30,,,,5,Atlanta,05,Atlanta,6,562535,false,Montgomery,false,true,BIF,,1934-01-01,,true,true,false,true,false,false,2822,false,Southeast,1982-10-27,2,FDIC,,2022-06-30,true,,,,,,,2022-10-14,false,false,AL,1,,,,,,,36442,5,3511,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,The Parker Bank and Trust Company,Alabama,539,0,false,223 Second Avenue East,,SM,223,,,,,,,,,,,,,,,0,STATE,false,Cullman,13,01043,Cullman,1884-01-01,1998-12-10,1983-07-22,1983-07-22,,,,5,Atlanta,05,Atlanta,6,543730,false,Shelby,false,true,BIF,,1934-01-01,,true,true,false,true,false,false,2782,false,Southeast,1990-01-01,2,FED,,2022-06-30,true,,,,,,,2022-10-14,false,false,AL,1,,,,,,,35055,5,12368,false,,,,,,,,,,,,,,,,,,,,,,,,"Birmingham-Hoover-Talladega, AL",142,true,"Cullman, AL",18980,false,true,,,false
20756,"The Peoples Bank at Selma Mall, National Association",Alabama,14334,0,false,1383 Highland Avenue,,N,223,,,,,,,,,,,,,,,15995,OCC,false,Selma,3,01047,Dallas,1972-08-01,1997-09-11,1974-01-01,1974-01-01,,,,5,Atlanta,05,Atlanta,6,236331,true,Montgomery,false,true,BIF,,1972-08-01,,true,true,false,true,false,false,860,false,Southeast,1974-07-05,2,OCC,,2022-06-30,false,,,,,,,2022-10-14,false,false,AL,1,,,,,,,36701,5,4988,false,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery-Selma-Alexander City, AL",388,true,"Selma, AL",42820,false,true,,,false
